STE2_Level,STE2_ID,STE1_Level,STE1_ID,OrganismRowID,LastUpdateDate,EndDate,OrganismCode,CommonName,FinalID,ParentOrganismFinalID,ParentOrganismCode,Active,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicLevelCode,OrganismGroup,OrganismCategory1,OrganismCategory2,OrganismType1,OrganismType2,OrganismType3,OrganismType4,TaxaList,LifeStageDefault,TaxonomicAuthority,CaliforniaTaxon,EnterDate,DateFinalIDRevised,FinalIDAuthority,Source,OrganismComments,RLSID
Genus,Calilena,Family,Agelenidae,,,,,,Calilena nita,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena nita,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena saylori,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena saylori,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena siva,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena siva,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena stylophora,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena stylophora,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena stylophora laguna,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena stylophora laguna,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena stylophora pomona,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena stylophora pomona,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena yosemita,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena yosemita,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena,Agelenidae,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,,,,50,,,,,,,,0,A,,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena adnexa,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena adnexa,,,60,,,,,,,,0,A,(Chamberlin & Gertsch),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena aduma,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena aduma,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena altura,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena altura,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena barbarana,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena barbarana,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena curta,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena curta,,,60,,,,,,,,0,A,(McCook),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena dana,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena dana,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena frianta,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena frianta,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena furcata,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena furcata,,,60,,,,,,,,0,A,(Chamberlin & Gertsch),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena lassena,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena lassena,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena monterea,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena monterea,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena nedra,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena nedra,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena oola,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena oola,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena pacifica,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena pacifica,,,60,,,,,,,,0,A,(Banks),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena pearcei,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena pearcei,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena santana,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena santana,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena septata,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena septata,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena sidella,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena sidella,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena sula,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena sula,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena tentativa,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena tentativa,,,60,,,,,,,,0,A,(Chamberlin & Gertsch),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena tulareana,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena tulareana,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Hololena,Family,Agelenidae,,,,,,Hololena turba,Hololena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Hololena,,Hololena turba,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Novalena,Family,Agelenidae,,,,,,Novalena,Agelenidae,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Novalena,,,,,50,,,,,,,,0,A,,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Novalena,Family,Agelenidae,,,,,,Novalena calavera,Novalena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Novalena,,Novalena calavera,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Novalena,Family,Agelenidae,,,,,,Novalena intermedia,Novalena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Novalena,,Novalena intermedia,,,60,,,,,,,,0,A,(Chamberlin & Gertsch),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Novalena,Family,Agelenidae,,,,,,Novalena pina,Novalena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Novalena,,Novalena pina,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Novalena,Family,Agelenidae,,,,,,Novalena wawona,Novalena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Novalena,,Novalena wawona,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Rualena,Family,Agelenidae,,,,,,Rualena,Agelenidae,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Rualena,,,,,50,,,,,,,,0,A,,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Rualena,Family,Agelenidae,,,,,,Rualena alleni,Rualena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Rualena,,Rualena alleni,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Rualena,Family,Agelenidae,,,,,,Rualena avila,Rualena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Rualena,,Rualena avila,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Rualena,Family,Agelenidae,,,,,,Rualena balboae,Rualena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Rualena,,Rualena balboae,,,60,,,,,,,,0,A,(Schenkel),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Rualena,Family,Agelenidae,,,,,,Rualena cockerelli,Rualena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Rualena,,Rualena cockerelli,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Rualena,Family,Agelenidae,,,,,,Rualena cruzana,Rualena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Rualena,,Rualena cruzana,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Rualena,Family,Agelenidae,,,,,,Rualena goleta,Rualena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Rualena,,Rualena goleta,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Rualena,Family,Agelenidae,,,,,,Rualena magnacava,Rualena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Rualena,,Rualena magnacava,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Rualena,Family,Agelenidae,,,,,,Rualena rua,Rualena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Rualena,,Rualena rua,,,60,,,,,,,,0,A,(Chamberlin ),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Rualena,Family,Agelenidae,,,,,,Rualena surana,Rualena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Rualena,,Rualena surana,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Saltonia,Family,Agelenidae,,,,,,Saltonia,Agelenidae,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Saltonia,,,,,50,,,,,,,,0,A,,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Saltonia,Family,Agelenidae,,,,,,Saltonia incerta,Saltonia,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Saltonia,,Saltonia incerta,,,60,,,,,,,,0,A,(Banks),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Tegenaria,Family,Agelenidae,,,,,,Tegenaria,Agelenidae,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Tegenaria,,,,,50,,,,,,,,0,A,,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Tegenaria,Family,Agelenidae,,,,,,Tegenaria domestica,Tegenaria,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Tegenaria,,Tegenaria domestica,,,60,,,,,,,,0,A,(Clerck),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Tegenaria,Family,Agelenidae,,,,,,Tegenaria pagana,Tegenaria,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Tegenaria,,Tegenaria pagana,,,60,,,,,,,,0,A,C.L. Koch,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,0,Family,Agelenidae,,,,,,Agelenidae,Araneae,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,,,,,,40,,,,,,,,0,A,,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius,Amaurobiidae,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,,,,50,,,,,,,,0,A,,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius agastus,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius agastus,,,60,,,,,,,,0,A,(Chamberlin),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius barbaricus,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius barbaricus,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius corruptus,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius corruptus,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius diablo,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius diablo,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius distortus,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius distortus,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius dorotheae,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius dorotheae,,,60,,,,,,,,0,A,(Chamberlin),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius galeritus,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius galeritus,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius hagiellus,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius hagiellus,,,60,,,,,,,,0,A,(Chamberlin),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius heathi,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius heathi,,,60,,,,,,,,0,A,(Chamberlin),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius intermedius,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius intermedius,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius latescens,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius latescens,,,60,,,,,,,,0,A,(Chamberlin),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius leechi,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius leechi,,,60,,,,,,,,0,A,Brignoli,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius mathetes,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius mathetes,,,60,,,,,,,,0,A,(Chamberlin),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius mephisto,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius mephisto,,,60,,,,,,,,0,A,(Chamberlin),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius minutus,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius minutus,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius palomar,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius palomar,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius prosopidus,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius prosopidus,,,60,,,,,,,,0,A,. Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius tamalpais,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius tamalpais,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius transversus,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius transversus,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius triangularis,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius triangularis,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius tulare,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius tulare,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Amaurobius,Family,Amaurobiidae,,,,,,Amaurobius vexans,Amaurobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Amaurobius,,Amaurobius vexans,,,60,,,,,,,,0,A,Leech,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Callobius,Family,Amaurobiidae,,,,,,Callobius,Amaurobiidae,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Callobius,,,,,50,,,,,,,,0,A,,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Callobius,Family,Amaurobiidae,,,,,,Callobius angelus,Callobius,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Amaurobiidae,,,,Callobius,,Callobius angelus,,,60,,,,,,,,0,A,(Chamberlin & Ivie),-1,,,CSUMB-WEE,CSUMB-WEE,,
